USAF WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H VSB MW MW MW MW AW AW AW AW W TEMP DEWP SLP ALT STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
727930 24233 201410010000 020 8 *** *** BKN * * * 10.0 ** ** ** ** ** ** ** ** * 67 48 1019.8 ***** 1002.9 67 54 ***** ***** ***** ***** ** 
727930 24233 201410010053 040 8 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** * 63 49 1019.9 30.10 1003.5 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410010153 080 5 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** * 62 49 1020.4 30.12 1004.1 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410010253 070 6 *** 75 *** * * * 10.0 ** ** ** ** ** ** ** ** * 61 50 1021.0 30.14 1004.8 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410010353 080 8 *** 80 *** * * * 10.0 ** ** ** ** ** ** ** ** * 61 49 1021.6 30.15 1005.1 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410010453 090 7 *** 55 *** * * * 10.0 ** ** ** ** ** ** ** ** * 59 49 1021.8 30.16 1005.5 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410010553 100 5 *** 21 *** * * * 10.0 ** ** ** ** ** ** ** ** * 59 49 1022.4 30.18 1006.1 67 58 0.00 ***** ***** ***** ** 
727930 24233 201410010600 100 5 *** *** OVC * * * 10.0 ** ** ** ** ** ** ** ** * 59 49 1022.4 ***** 1005.6 67 54 ***** ***** ***** ***** ** 
727930 24233 201410010653 090 6 *** 21 *** * * * 10.0 ** ** ** ** ** ** ** ** * 58 49 1022.5 30.18 1006.1 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410010751 070 5 *** 45 *** * * * 10.0 ** ** ** ** ** ** ** ** * 57 48 ****** 30.19 1006.5 *** *** ***** ***** ***** ***** ** 
727930 24233 201410010753 070 5 *** 45 *** * * * 10.0 ** ** ** ** ** ** ** ** * 58 49 1022.8 30.19 1006.5 67 54 0.00 ***** ***** ***** ** 
727930 24233 201410010759 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ****** 67 *** ***** ***** 0.00T***** 0 
727930 24233 201410010853 *** 0 *** 29 *** * * * 10.0 ** ** ** ** ** ** ** ** * 57 49 1022.8 30.19 1006.5 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410010953 *** 0 *** 49 *** * * * 10.0 ** ** ** ** ** ** ** ** * 54 49 1023.3 30.20 1006.8 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410011053 *** 0 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** * 53 49 1023.1 30.20 1006.8 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410011153 140 5 *** 29 *** * * * 10.0 ** ** ** ** ** ** ** ** * 52 49 1023.3 30.20 1006.8 59 52 0.00 ***** ***** ***** ** 
727930 24233 201410011200 140 5 *** *** BKN * * * 10.0 ** ** ** ** ** ** ** ** * 52 49 1023.3 ***** 1006.3 67 52 ***** ***** ***** ***** ** 
727930 24233 201410011253 160 3 *** 32 *** * * * 10.0 ** ** ** ** ** ** ** ** * 52 50 1023.6 30.21 1007.1 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410011353 170 3 *** 37 *** * * * 8.0 ** ** ** ** ** ** ** ** * 53 50 1023.9 30.22 1007.5 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410011450 170 5 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** * 52 50 ****** 30.22 1007.5 *** *** ***** ***** ***** ***** ** 
727930 24233 201410011453 170 3 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** * 52 50 1024.0 30.22 1007.5 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410011553 210 3 *** 6 *** * * * 10.0 ** ** ** ** ** ** ** ** * 53 50 1024.4 30.23 1007.8 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410011653 200 7 *** 8 *** * * * 10.0 ** ** ** ** ** ** ** ** * 54 50 1024.9 30.25 1008.5 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410011753 190 7 *** 11 *** * * * 10.0 ** ** ** ** ** ** ** ** * 57 50 1024.5 30.24 1008.1 57 52 0.00 ***** ***** ***** ** 
727930 24233 201410011800 190 7 *** *** BKN * * * 10.0 ** ** ** ** ** ** ** ** * 57 50 1024.5 ***** 1007.6 59 52 ***** ***** ***** ***** ** 
727930 24233 201410011853 *** 0 *** 15 *** * * * 10.0 ** ** ** ** ** ** ** ** * 58 50 1024.1 30.23 1007.8 *** *** 0.00 ***** ***** ***** ** 
